"No.","Time","Source","Destination","Protocol","Length","Info"
"3","3.333961300","172.20.10.6","57.144.41.32","TLSv1.2","123","Application Data"
"4","3.482016400","57.144.41.32","172.20.10.6","TCP","54","443  >  49330 [ACK] Seq=1 Ack=70 Win=292 Len=0"
"5","3.700734000","57.144.41.32","172.20.10.6","TLSv1.2","125","Application Data"
"6","3.755737700","172.20.10.6","57.144.41.32","TCP","54","49330  >  443 [ACK] Seq=70 Ack=72 Win=255 Len=0"
"7","4.347778000","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","94","Standard query 0x3ec4 A assets.msn.com"
"8","4.347777900","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","94","Standard query 0xd073 AAAA assets.msn.com"
"9","4.520434000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","374","Standard query response 0xd073 AAAA assets.msn.com CNAME assets-msn-com-world-atm-default.trafficmanager.net CNAME assets.msn.com-ion.edgesuite.net CNAME a1666.dscr.akamai.net AAAA 2600:1417:55::174c:9c59 AAAA 2600:1417:55::174c:9c58 AAAA 2600:1417:55::174c:9c20 AAAA 2600:1417:55::174c:9c21 AAAA 2600:1417:55::174c:9c22"
"10","4.520434000","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","330","Standard query response 0x3ec4 A assets.msn.com CNAME assets-msn-com-world-atm-default.trafficmanager.net CNAME assets.msn.com-ion.edgesuite.net CNAME a1666.dscr.akamai.net A 104.71.60.65 A 104.71.60.34 A 104.71.60.8 A 104.71.60.11 A 104.71.60.33 A 104.71.60.42"
"11","4.520434000","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TLSv1.2","723","Application Data"
"12","4.527602800","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"13","4.527737200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TLSv1.2","109","Application Data"
"15","4.717769400","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  61498 [ACK] Seq=650 Ack=36 Win=16388 Len=0"
"16","4.717769400","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","443  >  61498 [ACK] Seq=650 Ack=71 Win=16388 Len=0"
"18","5.279786800","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:100:6031:18::a27d:5112","TCP","74","55246  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"19","5.280567800","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2600:14e1:1c:6d::","TCP","74","55247  >  80 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"20","5.318944400","fe80::9913:7398:30a3:a1d6","fe80::107d:c8ff:fe09:6c64","DNS","103","Standard query 0x1067 A ctldl.windowsupdate.com"
"21","5.427252500","fe80::107d:c8ff:fe09:6c64","fe80::9913:7398:30a3:a1d6","DNS","255","Standard query response 0x1067 A ctldl.windowsupdate.com CNAME ctldl.windowsupdate.com.delivery.microsoft.com CNAME wu-b-net.trafficmanager.net CNAME bg.microsoft.map.fastly.net A 146.75.122.172"
"22","5.428861600","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:90c0:321:2803::252","TCP","86","51850  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1390 WS=256 SACK_PERM"
"23","5.631475400","2a03:90c0:321:2803::252","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","86","80  >  51850 [SYN, ACK] Seq=0 Ack=1 Win=31680 Len=0 MSS=1340 SACK_PERM WS=8192"
"24","5.631765200","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:90c0:321:2803::252","TCP","74","51850  >  80 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"25","5.631949300","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:90c0:321:2803::252","HTTP","362","GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?f14c09ee131a13af HTTP/1.1 "
"26","5.844036900","2a03:90c0:321:2803::252","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","74","80  >  51850 [ACK] Seq=1 Ack=289 Win=32768 Len=0"
"27","5.844036900","2a03:90c0:321:2803::252","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","HTTP","468","HTTP/1.1 304 Not Modified "
"28","5.858230800","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:90c0:321:2803::252","HTTP","356","GET /msdownload/update/v3/static/trustedr/en/pinrulesstl.cab?9311da32648ab103 HTTP/1.1 "
"29","6.143961300","2a03:90c0:321:2803::252","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","HTTP","468","HTTP/1.1 304 Not Modified "
"30","6.196336100","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2a03:90c0:321:2803::252","TCP","74","51850  >  80 [ACK] Seq=571 Ack=789 Win=64512 Len=0"
"31","6.631141400","172.20.10.6","162.125.8.20","TCP","54","50151  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"32","7.679963500","150.171.22.12","172.20.10.6","TLSv1.2","93","Application Data"
"33","7.695905400","172.20.10.6","150.171.22.12","TLSv1.2","89","Application Data"
"34","7.696351900","172.20.10.6","150.171.22.12","TLSv1.2","89","Application Data"
"35","7.935709800","172.20.10.6","34.36.73.246","TCP","55","54835  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"36","7.967471400","150.171.22.12","172.20.10.6","TCP","54","443  >  64603 [ACK] Seq=40 Ack=71 Win=16388 Len=0"
"37","8.083900600","34.36.73.246","172.20.10.6","TCP","54","443  >  54835 [RST] Seq=1 Win=0 Len=0"
"39","9.934897500","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","2620:1ec:50::12","TCP","86","51851  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1390 WS=256 SACK_PERM"
"40","10.121909600","2620:1ec:50::12","2401:4900:be95:4fc6:846b:995e:bbeb:daf6","TCP","86","443  >  51851 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 WS=256 SACK_PERM"
